State Score Turns Date Channel User User
Lose 180 38 128694996277788672 "Lord#7884" "2018-01-06T12:48:28.6033610-03:00" "God/general"
Lose 310 41 377873499177484299 "Katrineersoed#9483" "2018-01-06T12:52:49.5824747-03:00" "God/general"
Lose 4230 438 228656614851346432 "Samrux#3980" "2018-01-06T13:32:32.5465262-03:00" "Cat Kingdom/pacman"
Lose 5920 355 288768851741507585 "Syndroke#0157" "2018-01-06T13:49:41.8928997-03:00" "Cat Kingdom/pacman"
Lose 170 29 288768851741507585 "Syndroke#0157" "2018-01-06T13:52:35.9286695-03:00" "Cat Kingdom/pacman"
Win 6130 590 288768851741507585 "Syndroke#0157" "2018-01-06T14:24:29.2619573-03:00" "Cat Kingdom/pacman"
Lose 2560 162 305381634566389772 "Icaro#3958" "2018-01-06T15:40:41.1814301-03:00" "Pokémon Uranium en español/off_topic"
Lose 2630 207 295036787812859904 "Poopy (month, 5 days later)#8666" "2018-01-06T16:37:13.8008502-03:00" "Pokémon Uranium/bot_spam"
Lose 400 57 308420062224711685 "Zekkonex#4349" "2018-01-06T17:08:33.6354235-03:00" "Virtuous Weapon Pack/pacman"
Lose 3360 380 308421776088629248 "Mega#3942" "2018-01-06T17:09:52.4661176-03:00" "Pokémon Uranium en español/pac-man"
Lose 10 22 339942819450060811 "Dassu#1133" "2018-01-06T17:14:56.9753998-03:00" "Pokémon Uranium en español/pac-man"
